WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	121543	605842	1239146	611645	3711175	600055	0.84401	605842	1.00971	611645	1.06372	600055	144006.587599673	605842	1227229.60057838	611645	3488864.55082164	616622	118524	622394	1210471	628197	3632188	616622	0.84245	622394	1.0088	628197	1.06367	616622	140689.655172414	622394	1199911.77636796	628197	3414769.61839668	633173	111499	638961	1208740	644764	3575240	633173	0.84321	638961	1.00914	644764	1.06429	633173	132231.591181319	638961	1197792.17947956	644764	3359272.37876894
7	720066	121214	725869	1237284	731672	3709275	720066	0.84238	725869	1.00952	731672	1.0643	720066	143894.679360859	725869	1225616.13440051	731672	3485178.05130132	736648	118016	742436	1207719	748239	3625928	736648	0.84275	742436	1.00944	748239	1.06429	736648	140036.784336992	742436	1196424.75035663	748239	3406898.49571076	753216	111787	758988	1206327	764791	3568281	753216	0.84273	758988	1.00879	764791	1.0635	753216	132648.653779977	758988	1195815.77929995	764791	3355224.25952045
8	840077	121528	845864	1232909	851667	3692212	840077	0.84292	845864	1.00988	851667	1.06322	840077	144175.01067717	845864	1220847.03133046	851667	3472669.81433758	856644	119037	862431	1209326	868250	3617514	856644	0.84259	862431	1.00922	868250	1.06331	856644	141275.116011346	862431	1198277.87796516	868250	3402125.43848925	873227	112144	878999	1205309	884802	3555035	873227	0.84325	878999	1.00928	884802	1.06356	873227	132990.216424548	878999	1194226.57736208	884802	3342580.57843469
9	960088	120695	965875	1232439	971694	3685107	960088	0.84222	965875	1.00843	971694	1.06391	960088	143305.787086509	965875	1222136.39023036	971694	3463739.41404818	976670	117851	982458	1206404	988277	3613528	976670	0.84284	982458	1.00959	988277	1.06332	976670	139826.064258934	982458	1194944.48241365	988277	3398344.80683143	993238	111583	999025	1204024	1004828	3552797	993238	0.84219	999025	1.00903	1004828	1.06309	993238	132491.48054477	999025	1193248.96187428	1004828	3341953.17423736
10	1080099	120992	1085886	1236106	1091689	3684545	1080099	0.84302	1085886	1.01035	1091689	1.06354	1080099	143522.099119831	1085886	1223443.36121146	1091689	3464416.00692029	1096666	118558	1102438	1207889	1109567	3609264	1096666	0.84302	1102438	1.00988	1109567	1.06263	1096666	140634.860382909	1102438	1196071.81051214	1109567	3396538.77643206	1115869	112314	1122172	1205019	1127975	3546785	1115869	0.84193	1122172	1.00984	1127975	1.06354	1115869	133400.639007994	1122172	1193277.15281629	1127975	3334886.3230344
11	1200110	108730	1205897	743009	1211716	3417470	1200110	0.84208	1205897	1.00985	1211716	1.06361	1200110	129120.748622459	1205897	735761.746794078	1211716	3213085.62348981	1216692	107441	1222480	748022	1228283	3344610	1216692	0.84298	1222480	1.00999	1228283	1.06415	1216692	127453.794870578	1222480	740623.174486876	1228283	3142987.3608044	1233260	102226	1239032	784664	1244835	3346095	1233260	0.8432	1239032	1.00977	1244835	1.06418	1233260	121235.768500949	1239032	777072.006496529	1244835	3144294.1983499
12	1320121	108107	1325908	385010	1331711	3412387	1320121	0.84264	1325908	1.01065	1331711	1.06458	1320121	128295.594797304	1325908	380952.85212487	1331711	3205383.34366605	1336672	105806	1342460	389032	1348247	3332419	1336672	0.84285	1342460	1.01006	1348247	1.06391	1336672	125533.606217002	1342460	385157.317387086	1348247	3132237.68927823	1353224	100632	1359011	398233	1364815	3324456	1353224	0.84262	1359011	1.00932	1364815	1.06367	1353224	119427.499940661	1359011	394555.740498554	1364815	3125458.08380419
13	1440132	106502	1445935	216083	1451738	3405484	1440132	0.84242	1445935	1.01028	1451738	1.06489	1440132	126423.874077064	1445935	213884.269707408	1451738	3197967.86522552	1456699	105338	1462486	219899	1468290	3329043	1456699	0.84333	1462486	1.00957	1468290	1.06402	1456699	124907.213071988	1462486	217814.515090583	1468290	3128741.001109	1473266	100642	1479038	225425	1484841	3321205	1473266	0.84332	1479038	1.00955	1484841	1.06418	1473266	119340.226722952	1479038	223292.556089347	1484841	3120905.29797591
14	1560143	106791	1565930	129777	1571733	3398786	1560143	0.84326	1565930	1.01061	1571733	1.06384	1560143	126640.656499775	1565930	128414.521922403	1571733	3194828.16964957	1576710	105452	1582482	133866	1588269	3325844	1576710	0.8427	1582482	1.00945	1588269	1.06483	1576710	125135.872789842	1582482	132612.808955372	1588269	3123356.77995549	1593246	100025	1599034	137620	1604837	3316195	1593246	0.84309	1599034	1.00939	1604837	1.06338	1593246	118640.951737062	1599034	136339.769563796	1604837	3118541.81948128
15	1680154	106190	1685941	84658	1691744	3397583	1680154	0.84266	1685941	1.00913	1691744	1.06422	1680154	126017.61089882	1685941	83892.0654425099	1691744	3192556.99009603	1696721	105353	1702508	87259	1708312	3325004	1696721	0.84344	1702508	1.01024	1708312	1.06446	1696721	124908.707199089	1702508	86374.5248653785	1708312	3123653.30778047	1713288	100071	1719076	91418	1724863	3315118	1713288	0.84336	1719076	1.01027	1724863	1.06335	1713288	118657.512805919	1719076	90488.6812436279	1724863	3117616.96525133
16	1800165	106373	1805952	59845	1811755	3392824	1800165	0.84321	1805952	1.01037	1811755	1.06377	1800165	126152.441266114	1805952	59230.7768441264	1811755	3189433.80617991	1816732	104695	1822520	61131	1828323	3312691	1816732	0.84297	1822520	1.009	1828323	1.06421	1816732	124197.776907838	1822520	60585.728444004	1828323	3112817.01919734	1833299	99920	1839087	64739	1844874	3313876	1833299	0.84264	1839087	1.00945	1844874	1.06417	1833299	118579.7018893	1839087	64132.9436822032	1844874	3114047.56758789
17	1920176	106286	1925963	46387	1931766	3385399	1920176	0.84313	1925963	1.0094	1931766	1.06386	1920176	126061.224247744	1925963	45955.0227858134	1931766	3182184.68595492	1936743	104978	1942531	47381	1948334	3312847	1936743	0.84343	1942531	1.00884	1948334	1.06381	1936743	124465.575092183	1942531	46965.82213235	1948334	3114134.10289431	1953310	99738	1959082	50030	1964885	3305322	1953310	0.84286	1959082	1.00957	1964885	1.06357	1953310	118332.819210782	1959082	49555.7514585418	1964885	3107761.59538159
18	2040187	106021	2045959	38268	2051762	3379802	2040187	0.84271	2045959	1.00857	2051762	1.06416	2040187	125809.590487831	2045959	37942.8299473512	2051762	3176028.04089611	2056738	104601	2062526	39001	2068329	3305434	2056738	0.84246	2062526	1.00936	2068329	1.06363	2056738	124161.384516772	2062526	38639.3358167552	2068329	3107691.58447957	2073306	99367	2079078	41184	2084896	3304089	2073306	0.84277	2079078	1.00907	2084896	1.06376	2073306	117905.241050346	2079078	40813.8186647111	2084896	3106047.41671054
19	2160198	106396	2165985	33499	2171789	3382179	2160198	0.84254	2165985	1.00857	2171789	1.06324	2160198	126280.057920099	2165985	33214.3529948343	2171789	3181011.8129491	2176765	104531	2182553	33653	2188356	3306044	2176765	0.84328	2182553	1.00897	2188356	1.06371	2176765	123957.641589982	2182553	33353.8162680754	2188356	3108031.32432712	2193332	99817	2199120	35937	2204923	3303657	2193332	0.84339	2199120	1.00916	2204923	1.06439	2193332	118352.126536952	2199120	35610.8050259622	2204923	3103803.11727844
20	2280209	106230	2285996	30494	2291800	3376601	2280209	0.84249	2285996	1.0092	2291800	1.06381	2280209	126090.517394865	2285996	30216.0126833135	2291800	3174063.97758998	2296760	105022	2302548	30386	2308367	3301708	2296760	0.84301	2302548	1.00903	2308367	1.06407	2296760	124579.779599293	2302548	30114.0699483663	2308367	3102904.88407718	2313343	99814	2319131	32367	2324918	3296978	2313343	0.84328	2319131	1.00953	2324918	1.06326	2313343	118364.007209942	2319131	32061.4543401385	2324918	3100820.11925587
21	2400220	106467	2406007	28339	2411811	3373622	2400220	0.84333	2406007	1.00938	2411811	1.06422	2400220	126245.953541318	2406007	28075.650399255	2411811	3170041.90862792	2416771	104729	2422575	28160	2428378	3296797	2416771	0.84259	2422575	1.00938	2428378	1.06315	2416771	124294.140685268	2422575	27898.3138164022	2428378	3100970.70027748	2433339	99373	2439126	29559	2444929	3292587	2433339	0.84299	2439126	1.00918	2444929	1.06355	2433339	117881.588156443	2439126	29290.116728433	2444929	3095845.98749471
22	2520231	105616	2526018	26935	2531822	3368657	2520231	0.84242	2526018	1.00974	2531822	1.0636	2520231	125372.142161867	2526018	26675.1837106582	2531822	3167221.69988718	2536798	104544	2542586	26438	2548389	3293008	2536798	0.84275	2542586	1.00844	2548389	1.06368	2536798	124051.023435182	2542586	26216.7307921146	2548389	3095863.41756919	2553365	99431	2559153	27922	2564940	3293248	2553365	0.84277	2559153	1.00879	2564940	1.06351	2553365	117981.181105165	2559153	27678.7041901684	2564940	3096583.95313631
23	2640242	106053	2646029	25555	2651833	3369038	2640242	0.8426	2646029	1.00823	2651833	1.06252	2640242	125863.992404462	2646029	25346.399135118	2651833	3170799.60847796	2656809	105121	2662597	25115	2668400	3292080	2656809	0.84221	2662597	1.00817	2668400	1.06362	2656809	124815.663551846	2662597	24911.4732634377	2668400	3095165.56664974	2673376	99215	2679164	26703	2684967	3286387	2673376	0.84249	2679164	1.00876	2684967	1.06333	2673376	117764.009068357	2679164	26471.1130496848	2684967	3090655.77008078
24	2760253	106019	2766040	24549	2771844	3365267	2760253	0.84227	2766040	1.00891	2771844	1.06229	2760253	125872.938606385	2766040	24332.2000971345	2771844	3167936.2509296	2776804	105283	2782592	24511	2788395	3282739	2776804	0.84249	2782592	1.00908	2788395	1.06254	2776804	124966.468444729	2782592	24290.4427795616	2788395	3089520.39452632	2793372	99894	2799159	25632	2804947	3287814	2793372	0.84285	2799159	1.00919	2804947	1.06328	2793372	118519.309485674	2799159	25398.5869856023	2804947	3092143.17959521
25	2880264	106447	2886051	23905	2891855	3361788	2880264	0.84281	2886051	1.0092	2891855	1.06298	2880264	126300.115091183	2886051	23687.0788743559	2891855	3162607.01047997	2896831	105056	2902619	23638	2908406	3284975	2896831	0.84306	2902619	1.00901	2908406	1.06406	2896831	124612.720328328	2902619	23426.9234199859	2908406	3087208.42809616	2913398	99795	2919170	24908	2924973	3282639	2913398	0.84246	2919170	1.00814	2924973	1.06396	2913398	118456.662630867	2919170	24706.8859483802	2924973	3085303.01891049
26	3000275	100650	3006078	22977	3011881	3241909	3000275	0.84292	3006078	1.00979	3011881	1.0638	3000275	119406.349356997	3006078	22754.2360292734	3011881	3047479.7894341	3016858	99321	3022645	23098	3028448	3169342	3016858	0.84231	3022645	1.0081	3028448	1.06346	3016858	117915.019410906	3022645	22912.4094831862	3028448	2980217.40356948	3033425	94821	3039212	24146	3045016	3167032	3033425	0.84346	3039212	1.00843	3045016	1.06321	3033425	112419.083299742	3039212	23944.1508086828	3045016	2978745.49712663
27	3120286	100560	3126073	22263	3131877	3231323	3120286	0.84259	3126073	1.00877	3131877	1.0634	3120286	119346.301285323	3126073	22069.4509154713	3131877	3038671.24318225	3136853	99839	3142641	22017	3148444	3160699	3136853	0.84243	3142641	1.00907	3148444	1.06291	3136853	118513.110881616	3142641	21819.1007561418	3148444	2973628.05881966	3153420	95401	3159208	22849	3164995	3159413	3153420	0.84199	3159208	1.00897	3164995	1.06266	3153420	113304.196011829	3159208	22645.866576806	3164995	2973117.45995897
28	3240297	101001	3246084	21422	3251888	3231233	3240297	0.8431	3246084	1.0104	3251888	1.0641	3240297	119797.177084569	3246084	21201.504354711	3251888	3036587.72671741	3256848	99925	3262636	21239	3268439	3149270	3256848	0.84254	3262636	1.01027	3268439	1.06268	3256848	118599.710399506	3262636	21023.0928365684	3268439	2963516.76892385	3273416	95386	3279203	22292	3284991	3164136	3273416	0.84284	3279203	1.00899	3284991	1.06517	3273416	113172.132314556	3279203	22093.3805092221	3284991	2970545.54672024
29	3360308	100595	3366095	20907	3371914	3227251	3360308	0.84208	3366095	1.01016	3371914	1.06383	3360308	119460.146304389	3366095	20696.7213114754	3371914	3033615.33327693	3376875	99828	3382663	20763	3388450	3146374	3376875	0.84311	3382663	1.00897	3388450	1.06277	3376875	118404.478656403	3382663	20578.4116475217	3388450	2960540.85079556	3393427	95525	3399214	21649	3405002	3157749	3393427	0.84242	3399214	1.00813	3405002	1.06373	3393427	113393.556658199	3399214	21474.4130221301	3405002	2968562.51116355
30	3480319	100745	3486106	20862	3491910	3219677	3480319	0.84208	3486106	1.00888	3491910	1.06286	3480319	119638.276648299	3486106	20678.3760209341	3491910	3029257.85145739	3496886	100107	3502674	20318	3508477	3140238	3496886	0.84159	3502674	1.00885	3508477	1.06257	3496886	118949.84493637	3502674	20139.7630965951	3508477	2955323.41398684	3513453	94239	3519241	21203	3525028	3145659	3513453	0.84214	3519241	1.00883	3525028	1.06301	3513453	111904.196451896	3519241	21017.4162148231	3525028	2959199.81938082
31	3600330	97116	3606117	21191	3611936	3107949	3600330	0.8464	3606117	1.01291	3611936	1.06611	3600330	114740.075614367	3606117	20920.9110384931	3611936	2915223.56980049	3616897	96147	3622685	21029	3628488	3037088	3616897	0.84599	3622685	1.01325	3628488	1.06787	3616897	113650.279554132	3622685	20754.009375771	3628488	2844061.54307172	3633464	95091	3639252	22093	3645040	3031874	3633464	0.8468	3639252	1.01283	3645040	1.06714	3633464	112294.520547945	3639252	21813.1374465606	3645040	2841121.12749967
32	3720341	96915	3726128	22829	3731932	3085579	3720341	0.84669	3726128	1.01257	3731932	1.06673	3720341	114463.380930447	3726128	22545.6017855556	3731932	2892558.56683509	3736908	95359	3742758	22691	3748546	3010463	3736908	0.84658	3742758	1.00836	3748546	1.06234	3736908	112640.270263885	3742758	22502.8759569995	3748546	2833803.67867161	3753506	88347	3759294	23448	3765097	3010216	3753506	0.8423	3759294	1.00808	3765097	1.06287	3753506	104887.807194586	3759294	23260.058725498	3765097	2832158.21313989
33	3840352	93583	3846139	25539	3851943	3005982	3840352	0.8428	3846139	1.00787	3851943	1.06264	3840352	111038.205980066	3846139	25339.5775248792	3851943	2828786.7951517	3856919	91442	3862707	25483	3868510	2939005	3856919	0.84254	3862707	1.00888	3868510	1.06376	3856919	108531.345692786	3862707	25258.7027198478	3868510	2762845.94269384	3873486	81748	3879258	26754	3885062	2942355	3873486	0.84268	3879258	1.00861	3885062	1.06326	3873486	97009.5409882755	3879258	26525.6144595037	3885062	2767295.86366458
34	3960363	91286	3966150	28906	3971954	2859778	3960363	0.84217	3966150	1.00891	3971954	1.06263	3960363	108393.792227223	3966150	28650.7220663885	3971954	2691226.48523004	3976930	86918	3982718	29118	3988505	2797874	3976930	0.84212	3982718	1.00897	3988505	1.06327	3976930	103213.318766922	3982718	28859.1335718604	3988505	2631386.19541603	3993482	66884	3999269	30519	4005073	2812957	3993482	0.84193	3999269	1.00996	4005073	1.06378	3993482	79441.2837171736	3999269	30218.0284367698	4005073	2644303.333396
35	4080374	87672	4086146	33236	4091965	2665006	4080374	0.8425	4086146	1.00854	4091965	1.06431	4080374	104061.721068249	4086146	32954.5679893708	4091965	2503975.34552903	4096957	78336	4102729	33940	4108516	2618324	4096957	0.8426	4102729	1.00873	4108516	1.06403	4096957	92969.3804889627	4102729	33646.2680796645	4108516	2460761.44469611	4113493	52776	4119280	35979	4125068	2635347	4113493	0.84235	4119280	1.00891	4125068	1.06394	4113493	62653.2913871906	4119280	35661.2581895313	4125068	2476969.56595297
36	4200385	82268	4206172	39317	4211976	2433015	4200385	0.84224	4206172	1.00912	4211976	1.06341	4200385	97677.6215805471	4206172	38961.6695734898	4211976	2287936.9199086	4216952	68160	4222740	39890	4228543	2402063	4216952	0.84241	4222740	1.00876	4228543	1.06374	4216952	80910.7204330433	4222740	39543.5980808121	4228543	2258129.80615564	4233519	43118	4239307	42780	4245126	2435646	4233519	0.8423	4239307	1.00923	4245126	1.0638	4233519	51190.7871304761	4239307	42388.751820695	4245126	2289571.34799774
37	4320396	75670	4326183	47573	4331987	2204675	4320396	0.84262	4326183	1.00791	4331987	1.06322	4320396	89803.2327739669	4326183	47199.6507624689	4331987	2073583.07782021	4336963	59718	4342751	47915	4348554	2188700	4336963	0.84219	4342751	1.0091	4348554	1.06293	4336963	70907.989883518	4342751	47482.9055594094	4348554	2059119.60336052	4353530	37012	4359318	51510	4365121	2226560	4353530	0.84167	4359318	1.00794	4365121	1.06228	4353530	43974.4793089928	4359318	51104.2323947854	4365121	2096019.88176375
38	4440407	69527	4446195	57240	4451998	1993178	4440407	0.84228	4446195	1.00876	4451998	1.06313	4440407	82546.1841667854	4446195	56742.9319164122	4451998	1874820.57697553	4456974	52880	4462762	58280	4468549	1992575	4456974	0.84256	4462762	1.00919	4468549	1.06395	4456974	62761.1090011394	4462762	57749.2840793111	4468549	1872808.8725974	4473526	33187	4479298	62080	4485101	2044974	4473526	0.84218	4479298	1.00916	4485101	1.06368	4473526	39406.0652117125	4479298	61516.5087795791	4485101	1922546.25451264
39	4560418	63888	4566206	69091	4572009	1812465	4560418	0.842	4566206	1.0093	4572009	1.06272	4560418	75876.4845605701	4566206	68454.3743188348	4572009	1705496.27371274	4576985	47526	4582773	69451	4588560	1828105	4576985	0.84237	4582773	1.00976	4588560	1.06356	4576985	56419.3881548488	4582773	68779.7100301062	4588560	1718854.60152695	4593552	29864	4599340	74384	4605143	1886212	4593552	0.84246	4599340	1.0089	4605143	1.06288	4593552	35448.5672910287	4599340	73727.8223808108	4605143	1774623.66400723
40	4680429	58897	4686217	83555	4692020	1670640	4680429	0.84222	4686217	1.00824	4692020	1.0624	4680429	69930.6594476503	4686217	82872.1336189796	4692020	1572515.06024096	4696996	43897	4702768	81905	4708571	1699740	4696996	0.8427	4702768	1.00936	4708571	1.06375	4696996	52090.8983030735	4702768	81145.4783228977	4708571	1597875.44065805	4713548	28155	4719320	87320	4725123	1766049	4713548	0.84174	4719320	1.00821	4725123	1.06204	4713548	33448.5708175921	4719320	86608.9405976929	4725123	1662883.69552936
41	4800440	57982	4806228	924824	4812031	1566228	4800440	0.84176	4806228	1.00779	4812031	1.06289	4800440	68881.8665652918	4806228	917675.30934024	4812031	1473556.05942289	4817023	43249	4822795	896622	4828598	1605988	4817023	0.84235	4822795	1.0079	4828598	1.06243	4817023	51343.2658633585	4822795	889594.205774382	4828598	1511617.70657832	4833574	29351	4839362	907894	4845165	1678564	4833574	0.84267	4839362	1.00756	4845165	1.06218	4833574	34830.9539914795	4839362	901081.821429989	4845165	1580300.89062118
