WL Group	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3	1	1	2	2	3	3
Units	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	CPS	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	MicroAmps	(ms)	CPS	(ms)	CPS	(ms)	CPS
6	600055	119435	605842	877630	611645	2979324	600055	0.8381	605842	0.9994	611645	1.07264	600055	142506.860756473	605842	878156.894136482	611645	2777561.90334129	616622	122874	622394	908698	628197	3083533	616622	0.83782	622394	0.99956	628197	1.07209	616622	146659.186937528	622394	909098.003121374	628197	2876188.56625843	633173	122696	638945	977458	644749	3232781	633173	0.83825	638945	1.00047	644749	1.07285	633173	146371.607515658	638945	976998.810559037	644749	3013264.66887263
7	720066	118770	725869	873526	731672	2972275	720066	0.83802	725869	0.99868	731672	1.07174	720066	141726.927758287	725869	874680.57836344	731672	2773317.22246067	736648	122689	742452	908233	748255	3074007	736648	0.83753	742452	0.99863	748255	1.07177	736648	146489.080988144	742452	909478.986211109	748255	2868159.21326404	753216	121396	759003	972089	764806	3227877	753216	0.83743	759003	0.9985	764806	1.07151	753216	144962.564035203	759003	973549.323985979	764806	3012456.25332475
8	840077	118222	845880	871957	851683	2968648	840077	0.83729	845880	0.99908	851683	1.07238	840077	141196.001385422	845880	872759.939144012	851683	2768279.90078144	856659	123300	862447	904218	868235	3070493	856659	0.8375	862447	0.99878	868235	1.07173	856659	147223.880597015	862447	905322.493441999	868235	2864987.45019734	873211	121693	878999	972798	884802	3220961	873211	0.8376	878999	0.99952	884802	1.07236	873211	145287.726838586	878999	973265.167280295	884802	3003619.12044463
9	960088	118174	965891	872524	971694	2961209	960088	0.83809	965891	0.99866	971694	1.07288	960088	141003.949456502	965891	873694.750966295	971694	2760056.11065543	976655	123171	982442	906666	988261	3066512	976655	0.83801	982442	1.00046	988261	1.07256	976655	146980.346296584	982442	906249.125402315	988261	2859058.70067875	993238	121709	999025	970730	1004828	3215557	993238	0.83859	999025	0.9993	1004828	1.07281	993238	145135.286612051	999025	971409.986990894	1004828	2997321.98618581
10	1080099	118729	1085902	872355	1091705	2963914	1080099	0.83767	1085902	0.99959	1091705	1.07364	1080099	141737.199613213	1085902	872712.812253024	1091705	2760621.80991766	1096666	123457	1102500	906629	1108303	3071922	1096666	0.83874	1102500	0.99992	1108303	1.07401	1096666	147193.409161361	1102500	906701.53612289	1108303	2860235.93821287	1113280	122309	1119052	971431	1124855	3209982	1113280	0.8388	1119052	0.99987	1124855	1.07258	1113280	145814.258464473	1119052	971557.302449318	1124855	2992766.97309292
11	1200110	108046	1205897	564621	1211700	2773994	1200110	0.83766	1205897	0.99949	1211700	1.07288	1200110	128985.507246377	1205897	564909.103642858	1211700	2585558.49675639	1216677	114772	1222464	600070	1228252	2909754	1216677	0.83805	1222464	0.99978	1228252	1.07369	1216677	136951.255891653	1222464	600202.044449779	1228252	2710050.38698321	1233228	103598	1239016	607257	1244819	2863489	1233228	0.83794	1239016	0.99965	1244819	1.07187	1233228	123634.150416498	1239016	607469.614365028	1244819	2671489.07983244
12	1320121	106926	1325908	318062	1331711	2764681	1320121	0.83842	1325908	0.99973	1331711	1.07261	1320121	127532.740154099	1325908	318147.899932982	1331711	2577526.78047007	1336672	113809	1342460	335522	1348247	2894028	1336672	0.83755	1342460	1.00053	1348247	1.07319	1336672	135883.230851889	1342460	335344.267538205	1348247	2696659.49179549	1353224	103142	1359011	342863	1364815	2855998	1353224	0.83753	1359011	0.99879	1364815	1.07202	1353224	123150.215514668	1359011	343278.366823857	1364815	2664127.53493405
13	1440132	105973	1445919	189946	1451722	2758223	1440132	0.83812	1445919	0.99969	1451722	1.07218	1440132	126441.321051878	1445919	190004.901519471	1451722	2572537.26053461	1456699	113638	1462471	199934	1468274	2890813	1456699	0.83814	1462471	0.99978	1468274	1.07281	1456699	135583.554060181	1462471	199977.995158935	1468274	2694617.87268948	1473250	102855	1479022	207894	1484826	2845499	1473250	0.83861	1479022	0.99991	1484826	1.07267	1473250	122649.38409988	1479022	207912.712144093	1484826	2652725.44212106
14	1560143	106716	1565930	118771	1571749	2752749	1560143	0.83853	1565930	0.99876	1571749	1.07281	1560143	127265.571893671	1565930	118918.458889022	1571749	2565924.06856759	1576710	113578	1582497	124815	1588285	2889768	1576710	0.83838	1582497	0.99979	1588285	1.07325	1576710	135473.174455498	1582497	124841.216655498	1588285	2692539.48287911	1593261	102030	1599049	132910	1604837	2842309	1593261	0.83803	1599049	0.99994	1604837	1.07214	1593261	121749.818025608	1599049	132917.975078505	1604837	2651061.42854478
15	1680154	106731	1685957	79141	1691760	2752559	1680154	0.83792	1685957	1.00009	1691760	1.07196	1680154	127376.121825473	1685957	79133.8779509844	1691760	2567781.44706892	1696721	113487	1702508	82225	1708312	2882998	1696721	0.83842	1702508	0.99915	1708312	1.07237	1696721	135358.173707688	1702508	82294.9507081019	1708312	2688435.89432752	1713288	102533	1719076	89519	1724879	2844419	1713288	0.83851	1719076	0.99877	1724879	1.07313	1713288	122279.996660743	1719076	89629.2439700832	1724879	2650581.94254191
16	1800165	106265	1805952	55675	1811755	2756593	1800165	0.83942	1805952	1.00032	1811755	1.07425	1800165	126593.362083343	1805952	55657.1896992962	1811755	2566062.83453572	1816732	114000	1822520	57906	1828307	2882969	1816732	0.83817	1822520	0.99986	1828307	1.07333	1816732	136010.594509467	1822520	57914.1079751165	1828307	2686004.30436119	1833284	101996	1839071	62920	1844874	2835457	1833284	0.83807	1839071	0.9993	1844874	1.07281	1833284	121703.437660339	1839071	62964.0748523967	1844874	2643018.80109246
17	1920176	106340	1925963	42034	1931766	2746500	1920176	0.83877	1925963	1.00026	1931766	1.07317	1920176	126780.881528905	1925963	42023.0740007598	1931766	2559240.38130026	1936727	112778	1942515	43519	1948318	2878047	1936727	0.83852	1942515	1.00005	1948318	1.07284	1936727	134496.493822449	1942515	43516.8241587921	1948318	2682643.26460609	1953295	102514	1959082	47764	1964870	2837920	1953295	0.83843	1959082	0.99939	1964870	1.07349	1953295	122269.002779004	1959082	47793.1538238326	1964870	2643638.9719513
18	2040187	106270	2045974	33478	2051778	2743388	2040187	0.83816	2045974	0.99936	2051778	1.07355	2040187	126789.634437339	2045974	33499.4396413705	2051778	2555435.7039728	2056754	112941	2062526	34777	2068329	2874454	2056754	0.83822	2062526	1.00021	2068329	1.0728	2056754	134739.089976379	2062526	34769.6983633437	2068329	2679394.10887398	2073321	102019	2079093	37748	2084896	2828068	2073321	0.83851	2079093	0.99988	2084896	1.07387	2073321	121667.004567626	2079093	37752.5303036364	2084896	2633529.19813385
19	2160198	105705	2166001	28144	2171789	2739267	2160198	0.83851	2166001	1.00065	2171789	1.07299	2160198	126062.897282084	2166001	28125.718283116	2171789	2552928.73186143	2176765	113139	2182553	29571	2188340	2872061	2176765	0.83852	2182553	0.99968	2188340	1.07287	2176765	134927.014263226	2182553	29580.4657490397	2188340	2676988.82436828	2193317	102394	2199104	31750	2204907	2828105	2193317	0.83855	2199104	0.9995	2204907	1.07365	2193317	122108.401407191	2199104	31765.8829414707	2204907	2634103.29250687
20	2280209	105652	2285996	24937	2291800	2738336	2280209	0.83853	2285996	1.00067	2291800	1.07316	2280209	125996.684674371	2285996	24920.3033967242	2291800	2551656.78929517	2296776	112943	2302564	25801	2308367	2869566	2296776	0.83934	2302564	0.99986	2308367	1.07368	2296776	134561.679414778	2302564	25804.6126457704	2308367	2672645.48096267	2313343	102574	2319131	27925	2324934	2825230	2313343	0.83892	2319131	1.00037	2324934	1.07323	2313343	122269.107900634	2319131	27914.6715715185	2324934	2632455.29849147
21	2400220	105825	2406007	22716	2411811	2742329	2400220	0.8388	2406007	1.00082	2411811	1.07394	2400220	126162.374821173	2406007	22697.3881417238	2411811	2553521.61200812	2416803	113942	2422590	23703	2428378	2870649	2416803	0.83875	2422590	0.99967	2428378	1.07393	2416803	135847.39195231	2422590	23710.8245721088	2428378	2673031.76184668	2433354	102647	2439142	25199	2444945	2823130	2433354	0.83878	2439142	1.00166	2444945	1.07372	2433354	122376.54688953	2439142	25157.2389832877	2444945	2629298.14104236
22	2520231	105040	2526018	21126	2531837	2734570	2520231	0.83831	2526018	1.00006	2531837	1.07345	2520231	125299.710131097	2526018	21124.732516049	2531837	2547459.12711351	2536814	112437	2542586	22132	2548389	2863415	2536814	0.83807	2542586	0.99993	2548389	1.07267	2536814	134161.824191297	2542586	22133.5493484544	2548389	2669427.68978344	2553365	102519	2559153	22998	2564972	2819523	2553365	0.83835	2559153	0.9998	2564972	1.07275	2553365	122286.634460548	2559153	23002.600520104	2564972	2628313.2137031
23	2640242	106010	2646029	19803	2651833	2729791	2640242	0.83853	2646029	0.99951	2651833	1.07244	2640242	126423.622291391	2646029	19812.7082270312	2651833	2545402.07377569	2656809	113087	2662597	20869	2668400	2861750	2656809	0.83817	2662597	1.00016	2668400	1.07305	2656809	134921.316678001	2662597	20865.6614941609	2668400	2666930.71152323	2673376	102036	2679164	21505	2684967	2818837	2673376	0.83881	2679164	0.99987	2684967	1.07322	2673376	121643.757227501	2679164	21507.7960134818	2684967	2626522.98689924
24	2760253	105490	2766040	19213	2771844	2728184	2760253	0.83862	2766040	0.9995	2771844	1.07228	2760253	125789.988314135	2766040	19222.6113056528	2771844	2544283.20960943	2776820	112519	2782592	20292	2788395	2861378	2776820	0.83818	2782592	0.99991	2788395	1.07321	2776820	134242.048247393	2782592	20293.82644438	2788395	2666186.48726717	2793372	102284	2799159	20688	2804947	2817722	2793372	0.83856	2799159	0.99971	2804947	1.0719	2793372	121975.767983209	2799159	20694.0012603655	2804947	2628717.23108499
25	2880264	105627	2886051	18505	2891855	2725997	2880264	0.83829	2886051	0.9993	2891855	1.07289	2880264	126002.934545324	2886051	18517.9625738017	2891855	2540798.21789745	2896831	113119	2902634	19317	2908422	2858592	2896831	0.83792	2902634	0.99944	2908422	1.07351	2896831	134999.761313729	2902634	19327.8235812055	2908422	2662846.17749252	2913383	102373	2919155	19928	2924958	2816506	2913383	0.83824	2919155	0.9994	2924958	1.07226	2913383	122128.507348731	2919155	19939.963978387	2924958	2626700.61365714
26	3000275	101285	3006062	18037	3011866	2648955	3000275	0.83772	3006062	0.99932	3011866	1.074	3000275	120905.553168123	3006062	18049.2735059841	3011866	2466438.54748603	3016842	107613	3022614	18570	3028433	2768806	3016842	0.83803	3022614	0.99978	3028433	1.07259	3016842	128411.870696753	3022614	18574.0862989858	3028433	2581420.67332345	3033409	97065	3039181	18798	3044984	2729127	3033409	0.83841	3039181	1.00083	3044984	1.0729	3033409	115772.71263463	3039181	18782.4105992027	3044984	2543691.86317457
27	3120286	100507	3126073	17282	3131877	2638109	3120286	0.83808	3126073	0.99922	3131877	1.07324	3120286	119925.305460099	3126073	17295.4904825764	3131877	2458079.27397413	3136853	107787	3142641	17960	3148428	2759223	3136853	0.83899	3142641	0.99938	3148428	1.07282	3136853	128472.329825147	3142641	17971.142108107	3148428	2571934.71411793	3153420	96690	3159208	18119	3164995	2719307	3153420	0.83822	3159208	0.99973	3164995	1.07245	3153420	115351.578344587	3159208	18123.8934512318	3164995	2535602.59219544
28	3240297	100961	3246084	17045	3251888	2629229	3240297	0.83827	3246084	0.99948	3251888	1.07363	3240297	120439.715127584	3246084	17053.8680113659	3251888	2448915.36190308	3256864	107464	3262652	17538	3268439	2753532	3256864	0.83887	3262652	0.99938	3268439	1.07298	3256864	128105.665955392	3262652	17548.8803057896	3268439	2566247.27394732	3273416	97301	3279203	17616	3284991	2714222	3273416	0.83852	3279203	0.99935	3284991	1.07274	3273416	116038.973429376	3279203	17627.4578476009	3284991	2530176.93010422
29	3360308	101099	3366095	16665	3371899	2625840	3360308	0.83805	3366095	0.99967	3371899	1.0732	3360308	120636.000238649	3366095	16670.5012654176	3371899	2446738.72530749	3376875	107235	3382663	16999	3388450	2748611	3376875	0.83794	3382663	1.00026	3388450	1.07264	3376875	127974.556650834	3382663	16994.5814088337	3388450	2562472.96390215	3393442	96937	3399245	17147	3405049	2708535	3393442	0.83825	3399245	0.99996	3405049	1.07356	3393442	115642.111541903	3399245	17147.6859074363	3405049	2522947.01740005
30	3480319	100532	3486106	16195	3491910	2618801	3480319	0.83837	3486106	0.99863	3491910	1.07259	3480319	119913.641948066	3486106	16217.2175880957	3491910	2441567.60738027	3496886	107908	3502674	16667	3508477	2745495	3496886	0.83846	3502674	0.9996	3508477	1.07237	3496886	128697.850821745	3502674	16673.6694677871	3508477	2560212.42668109	3513469	98181	3519256	16785	3525060	2707835	3513469	0.83792	3519256	0.99905	3525060	1.07276	3513469	117172.283750239	3519256	16800.9609128672	3525060	2524175.95734367
31	3600330	95726	3606117	17068	3611936	2533902	3600330	0.83821	3606117	1.00087	3611936	1.07428	3600330	114202.884718627	3606117	17053.1637475396	3611936	2358697.91860595	3616913	101019	3622685	17299	3628488	2639412	3616913	0.83847	3622685	1.00002	3628488	1.07293	3616913	120480.16029196	3622685	17298.6540269195	3628488	2460003.91451446	3633464	91894	3639252	17382	3645055	2606631	3633464	0.83815	3639252	0.99978	3645055	1.07217	3633464	109639.086082443	3639252	17385.8248814739	3645055	2431173.22812614
32	3720341	95007	3726144	18547	3731932	2515664	3720341	0.83846	3726144	0.99933	3731932	1.07291	3720341	113311.30882809	3726144	18559.4348213303	3731932	2344711.11276808	3736908	99730	3742696	18974	3748483	2618396	3736908	0.83807	3742696	0.99967	3748483	1.07254	3736908	118999.606238142	3742696	18980.2634869507	3748483	2441303.82083652	3753460	89174	3759247	18881	3765051	2593485	3753460	0.83869	3759247	0.99954	3765051	1.07378	3753460	106325.340709917	3759247	18889.6892570582	3765051	2415285.25396264
33	3840352	93007	3846155	20385	3851958	2460000	3840352	0.83752	3846155	0.99982	3851958	1.07344	3840352	111050.48237654	3846155	20388.6699605929	3851958	2291697.71948129	3856935	96206	3862722	21538	3868510	2559508	3856935	0.83831	3862722	0.9999	3868510	1.07321	3856935	114761.842277916	3862722	21540.1540154015	3868510	2384908.82492709	3873486	76447	3879274	21600	3885140	2535403	3873486	0.83899	3879274	1.00018	3885140	1.0732	3873486	91117.8917507956	3879274	21596.1126997141	3885140	2362470.18263138
34	3960363	89853	3966135	22844	3971954	2361316	3960363	0.83835	3966135	0.99887	3971954	1.07325	3960363	107178.386115584	3966135	22869.8429225024	3971954	2200154.67039366	3976930	86727	3982718	24760	3988521	2463310	3976930	0.8391	3982718	0.99969	3988521	1.07349	3976930	103357.168394709	3982718	24767.6779801739	3988521	2294674.37982655	3993497	57914	3999269	24592	4005073	2441894	3993497	0.83777	3999269	0.99951	4005073	1.0742	3993497	69128.7584898003	3999269	24604.0559874338	4005073	2273221.00167567
35	4080374	85186	4086161	25708	4091965	2236509	4080374	0.8384	4086161	0.99893	4091965	1.0735	4080374	101605.438931298	4086161	25735.5370246163	4091965	2083380.53097345	4096941	74100	4102729	28794	4108516	2331378	4096941	0.83793	4102729	0.99903	4108516	1.07346	4096941	88432.2079409975	4102729	28821.9572985796	4108516	2171835.00083841	4113493	46110	4119265	28629	4125068	2314123	4113493	0.83785	4119265	0.99958	4125068	1.0735	4113493	55033.7172524915	4119265	28641.0292322776	4125068	2155680.48439683
36	4200385	78951	4206172	29433	4211976	2084012	4200385	0.83801	4206172	0.99932	4211976	1.07434	4200385	94212.479564683	4206172	29453.0280590802	4211976	1939806.76508368	4216952	62776	4222724	34341	4228527	2174205	4216952	0.83884	4222724	0.99963	4228527	1.07382	4216952	74836.6792236899	4222724	34353.710873023	4228527	2024738.78303626	4233504	38264	4239276	33711	4245079	2162529	4233504	0.83855	4239276	1.0003	4245079	1.07471	4233504	45631.1490072148	4239276	33700.8897330801	4245079	2012197.70914944
37	4320396	72298	4326183	34562	4331987	1918449	4320396	0.83846	4326183	0.99952	4331987	1.07468	4320396	86227.1306919829	4326183	34578.5977269089	4331987	1785135.10998623	4336963	54072	4342735	42229	4348538	2008175	4336963	0.83919	4342735	1.00002	4348538	1.07484	4336963	64433.5609337576	4342735	42228.1554368913	4348538	1868347.84712143	4353562	33149	4359349	39624	4365152	2010681	4353562	0.8386	4359349	0.99911	4365152	1.07479	4353562	39528.9768662056	4359349	39659.296774129	4365152	1870766.38227003
38	4440407	66247	4446195	40347	4451998	1756047	4440407	0.83803	4446195	0.99915	4451998	1.07448	4440407	79050.8693006217	4446195	40381.3241255067	4451998	1634322.64909538	4456974	48146	4462746	50794	4468549	1853385	4456974	0.83824	4462746	1.00091	4468549	1.07484	4456974	57437.0108799389	4462746	50747.8194842693	4468549	1724335.71508318	4473526	30038	4479298	47728	4485101	1864299	4473526	0.8387	4479298	1.0003	4485101	1.07535	4473526	35814.9517109813	4479298	47713.6858942317	4485101	1733667.17812805
39	4560418	60937	4566190	46969	4572009	1611813	4560418	0.83854	4566190	1.00028	4572009	1.07511	4560418	72670.3556180981	4566190	46955.8523613388	4572009	1499207.52295114	4576985	42959	4582773	62244	4588560	1718687	4576985	0.83939	4582773	1.00041	4588560	1.0753	4576985	51178.8322472272	4582773	62218.4904189283	4588560	1598332.55835581	4593552	27503	4599340	56058	4605143	1733237	4593552	0.83903	4599340	1.00066	4605143	1.07513	4593552	32779.519206703	4599340	56021.026122759	4605143	1612118.5345028
40	4680429	56441	4686217	54443	4692020	1483946	4680429	0.83863	4686217	1.00102	4692020	1.07551	4680429	67301.4320975877	4686217	54387.5247247807	4692020	1379760.29976476	4696996	39873	4702784	74892	4708571	1608873	4696996	0.83934	4702784	1.00042	4708571	1.07545	4696996	47505.1826435056	4702784	74860.5585654025	4708571	1495999.81403134	4713548	26073	4719320	65977	4725123	1621223	4713548	0.83856	4719320	1.00045	4725123	1.07602	4713548	31092.5872925014	4719320	65947.3237043331	4725123	1506684.81998476
41	4800440	52232	4806228	62873	4812031	1381049	4800440	0.83921	4806228	1.00036	4812031	1.07542	4800440	62239.4871367119	4806228	62850.3738654085	4812031	1284195.01218129	4817007	36860	4822795	88384	4828582	1521659	4817007	0.83824	4822795	1.00029	4828582	1.07559	4817007	43973.086466883	4822795	88358.3760709394	4828582	1414720.29304847	4833559	24454	4839346	75517	4845134	1531582	4833559	0.83917	4839346	1.00022	4845134	1.07599	4833559	29140.6985473742	4839346	75500.3899142189	4845134	1423416.57450348
